Combined profile
Timed-out turns: 78297
Total calls: 107530544
Total tottime: 211293885.60 us
Total cumtime: 763766312.60 us

      ncalls   tottime_us   cumtime_us   avg_cum_us  function
      117766     82599.50    100669.00         0.85  enum.py:__get__
         262       217.40       217.40         0.83  ~:0(<method 'can_build_foundry' of 'builtins.Controller' objects>)
      179439    141104.50    141104.50         0.79  ~:0(<built-in method _bisect.bisect_left>)
       97392     75993.80     75993.80         0.78  map_info.py:seen_at
      550075    426759.00    426759.00         0.78  comms.py:_is_bad_marker_spot
      112676     63239.70     87154.70         0.77  map_info.py:iter_mask
         318       228.60       228.60         0.72  ~:0(<method 'get_foundry_cost' of 'builtins.Controller' objects>)
         273       193.90       193.90         0.71  ~:0(<method 'can_build_bridge' of 'builtins.Controller' objects>)
       68428     45156.40     45156.40         0.66  ~:0(<method 'discard' of 'set' objects>)
          67        43.30        43.30         0.65  ~:0(<method 'pop' of 'dict' objects>)
       40850     26112.70     26112.70         0.64  _types.py:distance_squared
        9336      5804.40      5804.40         0.62  ~:0(<method 'get_direction' of 'builtins.Controller' objects>)
       26227     16270.60     16270.60         0.62  ~:0(<method 'get_scale_percent' of 'builtins.Controller' objects>)
       11817      6971.90      6971.90         0.59  map_info.py:type_at
      179439    105294.40    105294.40         0.59  ~:0(<method 'get_marker_value' of 'builtins.Controller' objects>)
       39060     22140.80     22140.80         0.57  ~:0(<method 'get_harvester_cost' of 'builtins.Controller' objects>)
          84        46.70        46.70         0.56  ~:0(<method 'get_road_cost' of 'builtins.Controller' objects>)
      327812    176249.90    176249.90         0.54  ~:0(<method 'get_global_resources' of 'builtins.Controller' objects>)
         132        69.60        69.60         0.53  comms.py:decode_learn_map_sample_bits
       27854     14570.90     14570.90         0.52  ~:0(<method 'get_tile_env' of 'builtins.Controller' objects>)
     1953662    694158.70   1005883.90         0.51  enum.py:__hash__
     7110005   2036494.60   3569763.00         0.50  <string>:<lambda>
        5352      2582.70      2582.70         0.48  ~:0(<method 'bit_count' of 'int' objects>)
       76830     35554.40     35554.40         0.46  ~:0(<method 'get_sentinel_cost' of 'builtins.Controller' objects>)
     1925912    887606.10    887606.10         0.46  ~:0(<method 'get_entity_type' of 'builtins.Controller' objects>)
      167579     77005.00     77005.00         0.46  map_info.py:update_symmetry_from_comms
         392       178.10       178.10         0.45  ~:0(<method 'is_in_vision' of 'builtins.Controller' objects>)
       77030     34507.10     34507.10         0.45  ~:0(<built-in method builtins.isinstance>)
       96922     41719.00     41719.00         0.43  ~:0(<method 'get_barrier_cost' of 'builtins.Controller' objects>)
      108576     43103.60     43103.60         0.40  ~:0(<method 'get_action_cooldown' of 'builtins.Controller' objects>)
        8541      3389.90      3389.90         0.40  heal.py:_conv_zone
     1169863    442375.10    442375.10         0.38  ~:0(<method 'can_place_marker' of 'builtins.Controller' objects>)
     2138808    807570.90    807570.90         0.38  ~:0(<method 'get_hp' of 'builtins.Controller' objects>)
      329697    123891.80    123891.80         0.38  ~:0(<method 'get_stored_resource' of 'builtins.Controller' objects>)
        3956      1376.20      1376.20         0.35  ~:0(<method 'clear' of 'set' objects>)
     6624848   2296280.30   2296280.30         0.35  ~:0(<method 'get_tile_building_id' of 'builtins.Controller' objects>)
      320620    110761.00    110761.00         0.35  ~:0(<method 'get_current_round' of 'builtins.Controller' objects>)
       37701     13000.40     13000.40         0.34  route.py:_dead_end_conveyors
     1723640    587984.90    587984.90         0.34  ~:0(<method 'get_team' of 'builtins.Controller' objects>)
      358878    122266.10    122266.10         0.34  comms.py:decode_type
         132        44.40        44.40         0.34  comms.py:decode_learn_map_env_bit
       63912     21045.50     21045.50         0.33  ~:0(<method '__format__' of 'str' objects>)
     8164202   2607321.50   2652668.00         0.32  ~:0(<method 'get' of 'dict' objects>)
      137513     43862.70     43862.70         0.32  ~:0(<built-in method time.perf_counter_ns>)
      461585    138509.20    138509.20         0.30  ~:0(<method 'get_id' of 'builtins.Controller' objects>)
      158717     47482.30     47482.30         0.30  heal.py:_healable_mask
      235951     67736.40     67736.40         0.29  comms_positional.py:communicates_walls
      167579     47801.30     47801.30         0.29  comms.py:decode_sample_bits
      620208    170428.60    170428.60         0.27  ~:0(<method 'add' of 'set' objects>)
     2957218    803577.80    803577.80         0.27  map_info.py:in_bounds
      167579     43333.20     43333.20         0.26  comms.py:decode_sym
      167579     42941.10     42941.10         0.26  comms.py:decode_location
       78297     18374.30     18374.30         0.23  comms_stats.py:is_enabled
        8492      1907.60      1907.60         0.22  explore.py:score
      336106     74808.40     74808.40         0.22  ~:0(<built-in method builtins.max>)
     7110005   1533268.40   1533268.40         0.22  ~:0(<built-in method __new__ of type object at 0x00007FFFCFEA68A0>)
     1167784    242346.10    242346.10         0.21  map_info.py:in_bounds_coords
      708345    142173.10    142173.10         0.20  ~:0(<built-in method builtins.len>)
      212437     42205.90     42205.90         0.20  ~:0(<built-in method builtins.min>)
       78297     15445.60     15445.60         0.20  comms_positional.py:flush_round_stats
     1434914    273434.70    273434.70         0.19  ~:0(<method 'items' of 'dict' objects>)
      264624     47829.30     47829.30         0.18  ~:0(<method 'getrandbits' of '_random.Random' objects>)
     1953662    311725.20    311725.20         0.16  ~:0(<built-in method builtins.hash>)
      117766     18069.50     18069.50         0.15  enum.py:value
    17611797   2659254.00   2659254.00         0.15  ~:0(<method 'append' of 'list' objects>)
    20656826   3050037.20   3050037.20         0.15  ~:0(<method 'bit_length' of 'int' objects>)
       78297     11492.20     11492.20         0.15  comms.py:get_new_messages
      413044     57981.10     57981.10         0.14  log.py:log
      476956     65428.60     65428.60         0.14  ~:0(<built-in method builtins.abs>)
      611022     79993.20     79993.20         0.13  ~:0(<built-in method _operator.index>)
